episode,reward
1,51.20207233816137
2,13.084382466563119
3,-1
4,-1
5,-1
6,10.981519811753346
7,19.61328842513827
8,-1
9,-1
10,-1
11,17.93976932695982
12,-1
13,-1
14,-1
15,20.008681564725645
16,39.83138643240408
17,19.02897895849381
18,14.845042692694264
19,49.38453812168061
20,18.886350641636717
21,144.87000321940144
22,0.9979648368975886
23,1.8843925661914955
24,0.9521172347892723
25,42.044688846443904
26,1.1460164767424792
27,1.6138427149771695
28,25.650488783266137
29,19.78341021010373
30,6.851881887868922
31,29.399105790222904
32,1.4185854033451237
33,-1
34,-1
35,-1
36,15.318612448469153
37,-1
38,-1
39,-1
40,22.41346150582913
41,60.01045098946085
42,112.99285745157938
43,98.97785473628807
44,-0.6689019668188276
45,-0.7751906808572714
46,-0.7526130778291337
47,-0.284897571164341
48,30.268817677297612
49,18.32466388508264
