episode,reward
1,9.714817223941083
2,3.593294534953178
3,5.24855357113777
4,7.439697996778991
5,2.392131413879359
6,2.6759061622233666
7,2.694515567229306
8,1.8830877731319546
9,2.6331811064192756
10,2.4045512786302274
11,2.5932678394531186
12,1.3878884455098355
13,2.4537287733429363
14,2.773464441370544
15,3.7953070840655574
16,1.6695784719677165
17,3.2798136465093943
18,2.546802865640577
19,2.0692391630361886
20,2.691878952490226
21,2.210644221781807
22,3.4265195939647493
23,0.6262208923784138
24,1.9278850000109555
25,1.6485852525272922
26,-1
27,-1
1,2.888681037488245
2,3.219995095730564
3,2.814993257667057
4,4.425692114744657
5,5.515945296019007
6,2.9243167057055905
7,2.1288108917802173
8,0.18078409612801916
9,0.18551205036305718
10,0.3314342603816778
11,0.09342203150741812
12,0.14501042228846384
13,0.5463292134673372
14,0.5031985734425855
15,-0.0681992152426727
16,2.1470303976256524
17,0.2316426894922683
18,-1
19,-1
20,-1
21,1.0413679621036116
22,1.0265872833289058
23,-1
24,-1
25,-1
26,0.35678338410100285
27,-0.0460549462088391
28,-0.10970280721204917
29,-0.11658523763153283
30,-0.11022266304314543
31,-0.10005611380084733
32,-0.004105933735844669
33,-0.10041848859451119
34,-0.04845240418807284
35,-0.18697359163986094
36,-0.012979807533023413
37,-0.09289574515534438
38,0.11587085212288062
39,-0.07869436621425474
40,-0.10979004408599524
41,0.5339842952617728
42,0.6157990119105807
43,0.3333152612809944
44,-0.16053998958257454
45,0.07904000990487203
46,0.3159887756826636
47,0.5737634504353457
48,3.0747552809320915
49,-0.012293106808898724
50,-1
51,-1
52,-1
53,1.9103206768278893
54,0.19903123715510107
55,-0.01465815364295353
56,0.08282294658715861
57,2.77572814609749
58,0.12821317644949026
59,0.06685269437217767
60,0.08429867946376746
61,0.1326264772561363
62,-0.364708583676576
63,3.1608077042748723
64,2.8663380884149197
65,0.02522361283325525
66,0.3057760897961139
67,0.29772525445392284
68,0.06916949933439098
69,0.23868666402239125
70,0.2829454504559765
71,0.17607622163759085
72,0.2251308372672507
73,0.033916797281925204
74,1.6434969482042678
75,0.20425239211770063
76,0.26113214054282174
77,0.9241485932714593
78,-0.1577305300773587
79,-0.09027304567654337
80,0.09182388498523619
81,-0.01793966831633953
82,0.20884499961052438
83,0.960995910379524
84,-1
85,-1
86,-1
87,1.224952624641451
88,0.11996681395553832
89,0.8858493252593482
90,0.0329721772783893
91,0.03446475406642513
92,0.36678896754918866
93,-0.0820375543833034
94,0.3828344946134059
95,-0.16468272750207325
96,4.0793022323291925
97,0.3330762180120974
98,-0.4641583203337536
99,-0.017320219711461804
100,1.6355623693229022
101,0.0577883497217444
102,0.27739006291086565
103,2.596879337545458
104,0.34226542749124444
105,0.2724706078675774
106,0.1633163062673446
107,0.7613052870526928
108,-1
109,-1
110,-1
111,0.15402931665239472
112,1.3035330900174698
113,0.40601585176514465
114,-1
115,-1
