episode,reward
1,75.59961520609639
2,0.7338624719364437
3,-1
4,-1
5,-1
6,0.2768963314550472
7,0.2579796839057069
8,6.063273088631018
9,6.32403165146852
10,1.9973903088725846
11,-1
12,-1
13,-1
14,8.87863791587284
15,3.3640701448938515
16,9.27143616683128
17,5.624034608457271
18,0.8401590810372346
19,0.8284757710074364
20,0.15907142826236464
21,12.54368157310039
22,1.586674530690709
23,2.537876823282253
24,-1
25,-1
26,-1
27,8.66451642703222
28,4.547947135964813
29,1.9792367679892586
30,4.893011149116566
31,35.93314686268983
32,13.824171728040197
33,2.73287782569231
34,7.513448427740462
35,6.32120776893213
36,1.8349002706048592
37,-1
38,-1
39,-1
40,7.497719300965148
41,1.5025961830026726
42,1.5732958321219566
43,1.5325952681264812
44,1.1668059792026546
45,1.834600415048452
46,-1
47,-1
48,-1
49,25.207190908924407
50,-1
51,-1
52,-1
53,7.306558749748021
54,1.2152089552375198
55,1.0422703073798245
56,0.6678318340328182
