step,loss
501,0.001393782440572977
502,0.004292901139706373
503,0.009019243530929089
504,0.0014928182354196906
505,0.002079398836940527
506,0.0024358462542295456
507,0.0024731438606977463
508,0.009474450722336769
509,0.002225995995104313
510,0.0019245842704549432
511,0.003240352962166071
512,0.0013091834262013435
513,0.003993397578597069
514,0.003048284910619259
515,0.00247581978328526
516,0.003298090770840645
517,0.0037999851629137993
518,0.011464368551969528
519,0.0022531431168317795
520,0.002299583051353693
521,0.0024812002666294575
522,0.004376089200377464
523,0.0023280635941773653
524,0.002692011184990406
525,0.0027154518757015467
526,0.0035084490664303303
527,0.006448703818023205
528,0.002003731206059456
529,0.0033035255037248135
530,0.002849038690328598
531,0.002204472664743662
532,0.0065687475726008415
533,0.0036303589586168528
534,0.0015594542492181063
535,0.0017604592721909285
536,0.0017670767847448587
537,0.004112434573471546
538,0.004792550578713417
539,0.0021928753703832626
540,0.0024050669744610786
541,0.003323302138596773
542,0.001629106467589736
543,0.004673803690820932
544,0.004265332594513893
545,0.0038111195899546146
546,0.005341522395610809
547,0.0018183658830821514
548,0.0022018160670995712
549,0.0025388647336512804
550,0.002425118815153837
551,0.002376479096710682
552,0.008039607666432858
553,0.0013252224307507277
554,0.003606062149628997
555,0.01654532365500927
556,0.024100366979837418
557,0.002940535079687834
558,0.004254953004419804
559,0.00183611991815269
560,0.0011344219092279673
561,0.0025486061349511147
562,0.001777637517079711
563,0.0016933181323111057
564,0.002191960345953703
565,0.003705419832840562
566,0.00809154286980629
567,0.0027274955064058304
568,0.003453575074672699
569,0.002423099707812071
570,0.0019726199097931385
571,0.008338232524693012
572,0.0024841302074491978
573,0.0028704360593110323
574,0.0018901043804362416
575,0.0024652897845953703
576,0.0031336944084614515
577,0.002519449684768915
578,0.018193261697888374
579,0.003154862206429243
580,0.001974101411178708
581,0.0013590644812211394
582,0.0028177150525152683
583,0.004634040407836437
584,0.004119683988392353
585,0.005027392879128456
586,0.0043405285105109215
587,0.0011304374784231186
588,0.00522112101316452
589,0.0049698231741786
590,0.0049787722527980804
591,0.004145236685872078
592,0.003423377638682723
593,0.004833099897950888
594,0.006520660128444433
595,0.002435050206258893
596,0.002260357141494751
597,0.00865731667727232
598,0.004170317202806473
599,0.0059479302726686
600,0.0013240750413388014
601,0.002570581855252385
602,0.0017304448410868645
603,0.002019248902797699
604,0.007645013742148876
605,0.0011723386123776436
606,0.006032999604940414
607,0.002461452968418598
608,0.004633231554180384
609,0.0036355273332446814
610,0.005372432991862297
611,0.0032042027451097965
612,0.0019784714095294476
613,0.002566894982010126
614,0.003441685577854514
615,0.0028368690982460976
616,0.0033314120955765247
617,0.0034182339441031218
618,0.003569608787074685
619,0.006761088967323303
620,0.0015911806840449572
621,0.0033979923464357853
622,0.0038994993083178997
623,0.0016989336581900716
624,0.0032365042716264725
625,0.001938102999702096
626,0.003392998594790697
627,0.0035403352230787277
628,0.004714846145361662
629,0.002533000661060214
630,0.0051099075935781
631,0.001712094061076641
632,0.0037552122958004475
633,0.001056145178154111
634,0.002575174905359745
635,0.0030408925376832485
636,0.0018092903774231672
637,0.0020348909310996532
638,0.0031971780117601156
639,0.0035107748117297888
640,0.0018026394536718726
641,0.0037944656796753407
642,0.0015478775603696704
643,0.006368235684931278
644,0.004175853915512562
645,0.003618313930928707
646,0.002316606231033802
647,0.0019636403303593397
648,0.003029493149369955
649,0.0028812838718295097
650,0.0026408149860799313
651,0.0021789297461509705
652,0.005429389886558056
653,0.0025071909185498953
654,0.0015438776463270187
655,0.002850448712706566
656,0.002349821152165532
657,0.004885178059339523
658,0.010269323363900185
659,0.0046761371195316315
660,0.001489015994593501
661,0.0050126719288527966
662,0.0018595330184325576
663,0.0033799537923187017
